Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Universidad Nacional de la Plata,www.unlp.edu.ar,15,533,1139,230,643,2015
Universidad Nacional de Colombia,www.unal.edu.co,16,569,653,120,906,2015
Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV,www.cinvestav.mx,17,586,1010,658,521,2015
Universidad de los Andes Colombia,www.uniandes.edu.co,18,607,695,712,818,2015
Instituto Politécnico Nacional,www.ipn.mx,19,638,1173,262,779,2015
Universidade Federal da Bahia,www.ufba.br,20,642,777,354,1079,2015
Universidad de Puerto Rico Río Piedras,www.uprrp.edu,21,645,1184,1241,595,2015
Universidade Federal de São Paulo UNIFESP,www.unifesp.br,22,666,1099,1658,573,2015
Universidad Nacional de Córdoba,www.unc.edu.ar,23,681,988,560,1018,2015
Universidade Federal do Ceará,www.ufc.br,24,687,908,515,862,2015
Universidad de Concepción,www.udec.cl,25,706,838,1507,889,2015
Universidade do Estado do Rio de Janeiro UERJ,www.uerj.br,26,711,1381,522,767,2015
Universidade Federal de Pernambuco,www.ufpe.br,27,716,1582,300,820,2015
Universidad de Costa Rica,www.ucr.ac.cr,28,751,877,354,1453,2015
Universidad de Guadalajara,www.udg.mx,29,752,619,255,1558,2015
Universidad Autónoma Metropolitana,www.uam.mx,30,775,1111,389,1125,2015
Pontificia Universidade Católica do Rio de Janeiro PUC-RIO,www.puc-rio.br,31,779,1181,271,1108,2015
Universidade Federal do Rio Grande do Norte,www.ufrn.br,32,785,1061,613,1128,2015
Tecnológico de Monterrey,www.itesm.mx,33,823,913,551,1389,2015
Universidade Federal do Pará UFPA,www.portal.ufpa.br,34,830,858,358,1473,2015
