Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Sekolah Tinggi Ilmu Ekonomi STIE STMY Majalengka,http://id.stie-stmy.ac.id/,7748,17534,16834,5963,6683
Royal University of Law and Economics,https://rule.edu.kh/,7749,17534,16834,5963,6683
S A Engineering College,https://saec.ac.in/,7750,17534,16834,5963,6683
Motilal Nehru College,http://www.mlncdu.ac.in/,7751,17534,16834,5963,6683
Nara Saho College,https://www.narasaho-c.ac.jp/,7752,17534,16834,5963,6683
Hamdard Institute of Medical Sciences and Research,https://www.himsr.co.in/,7753,17534,16834,5963,6683
Gia Đinh University,https://giadinh.edu.vn/,7754,17562,16867,5963,6683
Daejeon Health Sciences College,https://www.hit.ac.kr/,7755,17562,16867,5963,6683
Aichi Bunkyo Women's College,https://www.ai-bunkyo.ac.jp/,7756,17562,16867,5963,6683
Asian Institute of Journalism and Communication,https://aijc.com.ph/,7757,17562,16867,5963,6683
Yewon University,http://www.yewon.ac.kr/,7758,17562,16867,5963,6683
Venkateshwara Open University,https://vou.ac.in/,7759,17562,16867,5963,6683
Nakhonratchasima College,http://www.nmc.ac.th/,7760,17562,16867,5963,6683
(1) Sampurnanand Sanskrit Vishwavidyalaya Varanasi,http://www.ssvv.ac.in/,7761,17562,16867,5963,6683
Indian Institute of Information Technology IIIT Una,http://www.iiitu.ac.in/,7762,17562,16867,5963,6683
Institut Sains dan Teknologi Al Kamal,http://www.ista.ac.id/,7763,17562,16867,5963,6683
