Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
(3) James Cook University Brisbane,https://www.jcub.edu.au/,161,14194,12890,5963,6683
New Zealand Tertiary College,https://www.nztertiarycollege.ac.nz/,162,14313,13031,5963,6683
Kent Institute of Business and Technology,https://kent.edu.au/,163,14377,13117,5963,6683
Collarts,https://www.collarts.edu.au/,164,14414,13160,5963,6683
Te Wānanga o Raukawa,https://www.wananga.com/,165,14481,13237,5963,6683
Australian Ballet School,https://www.australianballetschool.com.au/,166,14536,13299,5963,6683
College of the Marshall Islands,https://www.cmi.edu/,167,14565,13333,5963,6683
Asia Pacific International College,https://apicollege.edu.au/,168,14765,13576,5963,6683
Palau Community College,https://pcc.palau.edu/,169,14802,13624,5963,6683
Macleay College,https://www.macleay.edu.au/,170,14802,13624,5963,6683
King's Own Institute,http://koi.edu.au/,171,14881,13714,5963,6683
Nature Care College,https://www.naturecare.com.au/,172,14897,13736,5963,6683
New Zealand School of Education,https://www.nzse.ac.nz/,173,15104,13988,5963,6683
UOW College,https://www.uowcollege.edu.au/,174,15124,14009,5963,6683
Tabor College Australia,https://tabor.edu.au/,175,15163,14059,5963,6683
Murdoch Institute of Technology,https://www.murdochinstitute.wa.edu.au/,176,15213,14115,5963,6683
Northern Marianas College,https://marianas.edu/,177,15324,14250,5963,6683
Photography Studies College Melbourne,https://www.psc.edu.au/,178,15635,14633,5963,6683
Morling College,https://www.morling.edu.au/,179,15675,14677,5963,6683
Campion College,https://www.campion.edu.au/,180,15702,14703,5963,6683
