Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
National Hispanic University,http://www.nhu.edu/,3125,12151,10353,5963,6683
Kuyper College,https://www.kuyper.edu/,3126,12161,10362,5963,6683
Briercrest College and Seminary,https://www.briercrest.ca/,3127,12167,10370,5963,6683
Interactive College of Technology,https://www.ict.edu/,3128,12167,10378,5963,6683
Alexander College,https://alexandercollege.ca/,3129,12177,10380,5963,6683
Marion Military Institute,https://marionmilitary.edu/,3130,12177,10380,5963,6683
Meadville Lombard Theological School,https://www.meadville.edu/,3131,12177,10380,5963,6683
Montcalm Community College,https://www.montcalm.edu/,3132,12177,10380,5963,6683
Nebraska Christian College,https://www.nechristian.edu/,3133,12177,10391,5963,6683
Instituto Tecnológico de Ciudad Victoria,http://www.itvictoria.edu.mx/,3134,12177,18201,5963,5807
Maysville Community & Technical College,https://maysville.kctcs.edu/,3135,12190,10392,5963,6683
Nunez Community College,https://www.nunez.edu/,3136,12190,10409,5963,6683
Itasca Community College,https://www.itascacc.edu/,3137,12190,10409,5963,6683
Labouré College,https://www.laboure.edu/,3138,12190,10392,5963,6683
Vandercook College of Music,https://www.vandercook.edu/,3139,12190,10409,5963,6683
Southwestern Christian University,https://swcu.edu/,3140,12190,10392,5963,6683
Conservatoire de Musique et d’Art Dramatique du Québec,https://www.conservatoire.gouv.qc.ca/,3141,12215,10426,5963,6683
Luna Community College,https://luna.edu/,3142,12215,10426,5963,6683
Trinity Bible College,https://www.trinitybiblecollege.edu/,3143,12228,10443,5963,6683
Cossatot Community College University of Arkansas,https://www.cccua.edu/,3144,12228,10443,5963,6683
Independence Community College,https://www.indycc.edu/,3145,12228,10443,5963,6683
Western International University,https://west.edu/,3146,12236,10454,5963,6683
God's Bible School and College,https://www.gbs.edu/,3147,12236,10454,5963,6683
Ozarka College,https://www.ozarka.edu/,3148,12246,10468,5963,6683
Santa Barbara Business College,https://sbbcollege.edu/,3149,12246,10478,5963,6683
University College of the North,https://www.ucn.ca/,3150,12246,10478,5963,6683
College of Westchester,https://www.cw.edu/,3151,12258,10488,5963,6683
Methodist Theological School Ohio,https://www.mtso.edu/,3152,12267,10492,5963,6683
Seminole State College Oklahoma,http://www.sscok.edu/,3153,12267,10492,5963,6683
State Technical College of Missouri (Linn State Technical College),https://www.statetechmo.edu/,3154,12267,10492,5963,6683
Blue Ridge Community & Technical College,https://www.blueridgectc.edu/,3155,12267,10492,5963,6683
College of Business and Technology,https://www.cbt.edu/,3156,12267,10492,5963,6683
Centro de Investigación y Desarrollo Tecnológico en Electroquímica,https://www.cideteq.mx/,3157,12279,16613,3882,6683
Lake Region State College,https://www.lrsc.edu/,3158,12291,10520,5963,6683
Oregon College of Oriental Medicine,https://www.ocom.edu/,3159,12299,10530,5963,6683
Robeson Community College,https://www.robeson.edu/,3160,12305,10536,5963,6683
Conway School of Landscape Design,https://csld.edu/,3161,12305,10536,5963,6683
Williston State College,https://willistonstate.edu/,3162,12318,10557,5963,6683
Institute of Business and Medical Careers,https://ibmc.edu/,3163,12327,10571,5963,6683
Unification Theological Seminary,https://uts.edu/,3164,12327,10571,5963,6683
Franciscan University (Our Lady of the Lake College),https://franu.edu/,3165,12338,10582,5963,6683
Dakota College (Minot State University) Bottineau,https://www.dakotacollege.edu/,3166,12338,10582,5963,6683
United States University,https://www.usuniversity.edu/,3167,12338,10582,5963,6683
Fletcher Technical Community College,https://www.fletcher.edu/,3168,12349,10595,5963,6683
Kaua'i Community College,https://www.kauai.hawaii.edu/,3169,12360,10606,5963,6683
Aquinas Institute of Theology,https://www.ai.edu/,3170,12360,10606,5963,6683
Saint Thomas More College,https://stmcollege.ca/,3171,12369,10617,5963,6683
Westmoreland County Community College,https://westmoreland.edu/,3172,12369,10617,5963,6683
Providence University College,https://www.prov.ca/,3173,12369,10617,5963,6683
Northwestern College Chicago,https://nc.edu/,3174,12369,10617,5963,6683
Woodland Community College,https://wcc.yccd.edu/,3175,12384,10641,5963,6683
Halifax Community College,http://www.halifaxcc.edu/,3176,12384,10641,5963,6683
Dabney S Lancaster Community College,https://www.dslcc.edu/,3177,12395,10657,5963,6683
Rocky Vista University,https://www.rvu.edu/,3178,12395,10657,5963,6683
Southeastern Technical College (Swainsboro Technical College),https://www.southeasterntech.edu/,3179,12404,10671,5963,6683
Chattahoochee Valley Community College,http://www.cv.edu/,3180,12404,10671,5963,6683
Washington County Community College,https://www.wccc.me.edu/,3181,12404,10671,5963,6683
Miles Community College,https://www.milescc.edu/,3182,12404,10671,5963,6683
Universidad Politécnica de Victoria,http://www.upvictoria.edu.mx/,3183,12411,20912,5963,5541
Atlantic College,https://www.atlanticcollege.org/,3184,12426,10694,5963,6683
Southwestern Christian College,https://swcc.edu/,3185,12426,10694,5963,6683
(3) Oklahoma State University Center for Health Sciences,https://medicine.okstate.edu/,3186,12434,10706,5963,6683
University of Providence (University of Great Falls),https://www.uprovidence.edu/,3187,12434,10706,5963,6683
North American University,https://www.na.edu/,3188,12448,10717,5963,6683
Southwestern Indian Polytechnic Institute,https://www.sipi.edu/,3189,12456,10735,5963,6683
Aurora College,http://www.auroracollege.nt.ca/,3190,12456,10735,5963,6683
Huron University College at Western,https://huronatwestern.ca/,3191,12475,10752,5963,6683
Instituto Universitario Eloísa Patrón de Rosado,http://www.iuepr.edu.mx/,3192,12487,10765,5963,6683
Central Alabama Community College,https://www.cacc.edu/,3193,12487,10765,5963,6683
East Arkansas Community College,https://www.eacc.edu/,3194,12493,10777,5963,6683
Eastern Shore Community College,https://es.vccs.edu/,3195,12505,10790,5963,6683
Centro de Diseño y Comunicación Visual,https://www3.centro.edu.mx/,3196,12517,10802,5963,6683
Dell'Arte International School of Physical Theatre,https://dellarte.com/,3197,12526,10813,5963,6683
Texas Southmost College,https://www.tsc.edu/,3198,12526,10813,5963,6683
Collège Communautaire du Nouveau Brunswick,https://ccnb.ca/,3199,12526,10813,5963,6683
Andrew College,https://www.andrewcollege.edu/,3200,12544,10835,5963,6683
Pennsylvania Institute of Technology,https://www.pit.edu/,3201,12551,10846,5963,6683
Centro Regional de Formación Docente de Sonora CRESON,http://www.creson.edu.mx/,3202,12551,10846,5963,6683
McDowell Technical Community College,https://www.mcdowelltech.edu/,3203,12560,10855,5963,6683
Louisiana Delta Community College,https://www.ladelta.edu/,3204,12560,10855,5963,6683
Pontifical College Josephinum,https://www.pcj.edu/,3205,12560,10863,5963,6683
Portage College,https://www.portagecollege.ca/,3206,12560,10855,5963,6683
Indiana University/Purdue University Columbus,https://www.iupuc.edu/,3207,12560,10863,5963,6683
Clear Creek Baptist Bible College,https://ccbbc.edu/,3208,12590,10895,5963,6683
River Parishes Community College,https://www.rpcc.edu/,3209,12613,10921,5963,6683
Collège François Xavier Garneau,https://www.cegepgarneau.ca/,3210,12613,10921,5963,6683
Universidad Tecnológica de Querétaro,http://www.uteq.edu.mx/,3211,12626,14761,5963,6245
Jamestown Business College,https://www.jbc.edu/,3212,12634,10947,5963,6683
Tri County Community College,https://www.tricountycc.edu/,3213,12634,10947,5963,6683
Université de Sudbury,https://usudbury.ca/,3214,12647,10966,5963,6683
Loyola Academy Illinois,https://www.goramblers.org/,3215,12655,10981,5963,6683
Universidad de la Sierra Juarez,http://www.unsij.edu.mx/,3216,12679,18869,5963,5807
Washburn Institute of Technology,https://www.washburntech.edu/,3217,12679,11018,5963,6683
MTI College of Business and Technology,https://mticollege.edu/,3218,12679,11018,5963,6683
Toronto School of Management,https://www.torontosom.ca/,3219,12679,11018,5963,6683
Saint Mary's University College,https://www.stmu.ca/,3220,12695,11036,5963,6683
Cégep de la Gaspésie et des Îles,http://www.cegepgim.ca/,3221,12695,11036,5963,6683
John Paul the Great Catholic University (New Catholic University),https://jpcatholic.edu/,3222,12704,11050,5963,6683
Blessing Rieman College of Nursing,https://www.brcn.edu/,3223,12704,11050,5963,6683
Alaska Bible College,https://www.akbible.edu/,3224,12721,11070,5963,6683
Paul D Camp Community College,https://www.pdc.edu/,3225,12729,11080,5963,6683
Northern Lakes College,https://www.northernlakescollege.ca/,3226,12729,11080,5963,6683
Boricua College,http://boricuacollege.edu/,3227,12741,11094,5963,6683
ITI Technical College,https://www.iticollege.edu/,3228,12751,11105,5963,6683
Arizona College of Allied Health,https://www.arizonacollege.edu/,3229,12760,11118,5963,6683
Universidad Pedagógica Nacional UPN Virtual,http://www.upnvirtual.edu.mx/,3230,12760,11118,5963,6683
Instituto Tecnológico de Poza Rica,https://itspozarica.edu.mx/,3231,12760,21383,5963,5541
Universidad Madero,https://umad.edu.mx/,3232,12774,11135,5963,6683
Mountwest Community and Technical College,http://www.mctc.edu/,3233,12774,11135,5963,6683
National Intelligence University (National Defense Intelligence College),https://ni-u.edu/,3234,12774,11135,5963,6683
Plaza College,http://www.plazacollege.edu/,3235,12786,11151,5963,6683
Dawson Community College,https://www.dawson.edu/,3236,12801,11163,5963,6683
University of Arkansas Community College Morrilton,http://www.uaccm.edu/,3237,12801,11163,5963,6683
San Joaquin College of Law,http://www.sjcl.edu/,3238,12821,11192,5963,6683
